date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:56:34	296/296	---MCZ	200	added ('OK')	text/plain	etag:W/%221e9-R4iCyI4IXuphaUoYe5dYqjTEv3c%22	https://www.psuigsa.com/robots.txt		(from )
16:56:34	628617/628617	---MCZ	200	added ('OK')	text/html	etag:W/%22cd2c25095ef7cf392d252e80a13fbc77%22	https://www.psuigsa.com/accommodation	/home/nishant/websites/accomodation/www.psuigsa.com/accommodation.html	(from )
16:56:34	601453/601453	---MCZ	200	added ('OK')	text/html	etag:W/%22d625a8dbd22e699aeaf33b5594aa5f39%22	https://www.psuigsa.com/	/home/nishant/websites/accomodation/www.psuigsa.com/index.html	(from https://www.psuigsa.com/accommodation)
16:56:34	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Nov%202025%2021:56:34%20GMT	https://www.psuigsa.com/t	/home/nishant/websites/accomodation/www.psuigsa.com/t.1.delayed	(from https://www.psuigsa.com/accommodation)
16:56:35	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2023%20Nov%202025%2021:56:35%20GMT	https://www.psuigsa.com/e	/home/nishant/websites/accomodation/www.psuigsa.com/e.2.delayed	(from https://www.psuigsa.com/accommodation)
16:56:38	1359177/1359177	---MCZ	200	added ('OK')	text/html	etag:W/%22b80ae6061905771372d57dd7b2ff4b33%22	https://www.psuigsa.com/about	/home/nishant/websites/accomodation/www.psuigsa.com/about.html	(from https://www.psuigsa.com/accommodation)
16:56:39	600760/600760	---MCZ	200	added ('OK')	text/html	etag:W/%222228c88713127734a7930c2b3c162702%22	https://www.psuigsa.com/services-4	/home/nishant/websites/accomodation/www.psuigsa.com/services-4.html	(from https://www.psuigsa.com/accommodation)
16:56:40	603179/603179	---MCZ	200	added ('OK')	text/html	etag:W/%22f80a5d782d602d9b3df2716e98423987%22	https://www.psuigsa.com/services-4-1	/home/nishant/websites/accomodation/www.psuigsa.com/services-4-1.html	(from https://www.psuigsa.com/accommodation)
16:56:41	599701/599701	---MCZ	200	added ('OK')	text/html	etag:W/%22481a13c8bf2d8295ec606c54eb2159e8%22	https://www.psuigsa.com/flights	/home/nishant/websites/accomodation/www.psuigsa.com/flights.html	(from https://www.psuigsa.com/accommodation)
16:56:42	606276/606276	---MCZ	200	added ('OK')	text/html	etag:W/%22cd1b95a723dd884d177c75bc02ff9736%22	https://www.psuigsa.com/services-4-2	/home/nishant/websites/accomodation/www.psuigsa.com/services-4-2.html	(from https://www.psuigsa.com/accommodation)
